"","ID_source","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161"
"1",1,0,0.704804043,5.006751499,5.706391826,1.366039889,1.061267374,1.152200702,5.014030372,5.409737799,3.041196243,2.737391249,2.738838388,5.934049166,4.34073114,4.147966544,4.410988301,6.603239207,6.558081401,5.386959251,5.524494522,5.321392238,7.38471671,7.498750852,6.351614352,8.263227165,8.288163343,9.86392491,9.460270585,10.62576639,10.42990609,11.91807128,12.32493038,13.34487801,13.90950152,13.31968586,15.38861877,14.83001917,15.22877208,15.89011937,16.33229549,16.34724813,16.85142458,16.25310129,17.82210082,17.88221078,18.0699586,19.15375053,19.03261742,19.5114455,20.36112258,20.81350706,20.82252044,20.93380374,21.16744876,22.18358886,22.17628171,22.29437005,22.44978228,23.59853651,23.78967513,23.96028603,24.33167854,25.51643493,25.14372398,24.99296782,25.02534325,25.11944237,26.54812563,26.54041175,28.14694877,28.12367289,28.58334777,30.0010507,29.55998374,29.43299262,28.88416875,31.99137178,31.55013013,30.85168377,30.69053245,30.73040224,31.37374378,32.83798144,32.61009614,32.13261246,32.50547131,34.37224595,34.13345339,35.93526762,35.93463315,37.31441647,37.38420906,38.7962815,38.81449967,40.20394198,40.16790106,41.46199447,41.77129321,42.18790692,43.15512733,43.20945788,43.52985226,43.42896118,44.45552071,44.78026064,44.63456789,44.66638951,45.45680322,45.76332799,45.83389026,46.00456224,47.55024375,48.12226554,49.23894967,49.03143036,50.56798846,50.17461242,52.39948921,52.07957237,52.40873,52.99498759,53.48796422,53.87776249,54.84300777,54.78861895,56.76270362,56.47497953,57.88123452,57.80797053,59.73444414,60.95054904,62.62455089,64.12759449,65.38670525,65.67349667,67.30706273,66.52968618,68.69310683,69.27862971,70.07046918,69.50792559,71.56823626,71.2883573,73.03279422,73.41752842,74.5419325,74.71533955,76.01453636,76.12073422,77.38426978,77.66268138,78.99377834,79.55677175,79.90413831,80.32892638,81.22242486,82.85987399,82.4563808,83.57937795,84.30398584,84.55252027
"2",2,0.704804043,0,4.302734554,5.00251873,1.941347733,1.407998174,0.945966473,4.313963498,4.718661854,3.340500392,2.9773271,2.615092615,5.29729326,4.567150912,4.249757304,4.328686468,6.083697468,6.009759361,5.568177762,5.590517857,5.263135416,6.943728083,7.025072055,6.404475614,7.893903197,7.864069459,9.62863527,9.17759626,10.42436667,10.19743206,11.75199625,12.08597125,13.20896537,13.70385339,13.05899961,15.30242582,14.70967124,15.04228089,15.67143045,16.25192486,16.23595138,16.68164791,16.03858265,17.75033166,17.77451215,17.91155449,19.08971244,18.93323663,19.35920415,20.18761411,20.75416215,20.72811848,20.79030023,20.99692786,22.13432866,22.09130619,22.15651219,22.2885132,23.55270383,23.70819762,23.83445162,24.17798259,25.50752218,25.10533915,24.91528993,24.90644624,24.97175726,26.54519407,26.50967273,28.14697453,28.09188188,28.53128118,30.02837653,29.5634002,29.40943267,28.83219199,32.07932254,31.61607152,30.89160736,30.69328005,30.69874453,31.32486409,32.92693254,32.68137795,32.16988441,32.51769215,34.46156822,34.20899299,36.02287409,36.00777857,37.3979661,37.45091794,38.87419633,38.87221817,40.27552569,40.22384094,41.52754359,41.82502506,42.22285635,43.20166033,43.23304369,43.53218287,43.40598651,44.49461962,44.80484279,44.63193715,44.64694793,45.49076789,45.78379323,45.83176952,45.98466954,47.52812036,48.0741029,49.21827627,48.98746437,50.54379111,50.1363369,52.38770253,52.05777028,52.37533412,52.98351031,53.46348523,53.84242958,54.81594473,54.75444754,56.73387582,56.44227841,57.85293193,57.77580923,59.71516133,60.93248896,62.605235,64.10818848,65.36310995,65.64297977,67.28279047,66.49745336,68.67222157,69.24744626,70.05107334,69.47653571,71.54890599,71.2608584,73.01251109,73.38985548,74.52026662,74.68590422,75.99189139,76.09087959,77.35981084,77.63190867,78.95996254,79.51598329,79.8699594,80.28342685,81.16772784,82.81079838,82.39833533,83.53142278,84.25179016,84.49804068
"3",3,5.006751499,4.302734554,0,0.854883912,6.041744941,5.319099618,4.402770439,0.319455667,0.83505587,6.564101197,6.13165646,4.816194071,2.224130877,7.270074729,6.55732543,5.830694706,4.06068676,3.730306789,7.895192366,7.405975228,6.570787447,5.36515183,5.156893626,7.992840299,6.667782194,6.228564725,9.069903063,8.361085732,9.997026729,9.592981147,11.42988415,11.27006009,12.97317876,12.99713541,12.03250762,15.26105738,14.48657676,14.38727265,14.7809322,16.20504023,15.99951345,16.06155327,15.15915949,17.70006492,17.50246433,17.31844861,19.04408871,18.67523612,18.75952064,19.43115117,20.69192035,20.45125387,20.20683642,20.23873605,22.10128631,21.84028201,21.57622718,21.55880206,23.51125947,23.44527082,23.29470947,23.45803143,25.65572141,25.08104263,24.65361547,24.39027923,24.27524987,26.71326923,26.50926775,28.31005801,28.0621774,28.37174234,30.33304406,29.72884398,29.41273659,28.66925052,32.72678175,32.13601275,31.26252463,30.84133517,30.63726401,31.15106408,33.57209746,33.22268386,32.5111615,32.7036892,35.09495723,34.76166525,36.63288157,36.53074753,37.9728947,37.92379241,39.40450023,39.28042537,40.7581669,40.61213083,41.9657758,42.18984536,42.47129905,43.51471515,43.40649622,43.57452246,43.2946535,44.75535983,44.97566074,44.63793871,44.55028489,45.71504494,45.92444088,45.83456371,45.87822275,47.40042981,47.78460908,49.09164839,48.71947084,50.38988667,49.89810856,52.30208482,51.91229241,52.15774677,52.8974667,53.29620433,53.60738898,54.62789619,54.52317221,56.52839138,56.21410216,57.64698061,57.54652355,59.55850446,60.77969263,62.44003952,63.93840475,65.16450694,65.40138483,67.07534662,66.24326408,68.48222564,68.99323522,69.86708479,69.22055046,71.36209657,71.02476214,72.81686228,73.14831041,74.31318614,74.43104644,75.77603087,75.83079811,77.13036444,77.36341019,78.67054378,79.18301821,79.57676987,79.92038928,80.74704121,82.42183214,81.95521824,83.14818276,83.8415482,84.07347613
"4",4,5.706391826,5.00251873,0.854883912,0,6.805288478,6.096020464,5.185811082,1.082367253,1.323054093,7.403900756,6.970760731,5.66774748,2.691138889,8.12447297,7.411971088,6.675371328,4.60362335,4.241309358,8.747586752,8.248160356,7.40037375,5.919871387,5.664799056,8.822040244,7.234884796,6.736520239,9.684681827,8.950964891,10.6161303,10.19270326,12.04607686,11.81430761,13.58659109,13.54048307,12.53292196,15.8846468,15.09016877,14.92712647,15.27933291,16.82247402,16.59161543,16.59541992,15.65665079,18.30954205,18.08134441,17.84934279,19.64840192,19.25070353,19.28217808,19.9251436,21.28772738,21.01675345,20.72584588,20.72898705,22.69663406,22.40478795,22.09057178,22.04870332,24.10134873,24.00307467,23.80991432,23.9431889,26.26710903,25.66956779,25.20830111,24.90606756,24.7618796,27.32514674,27.09796369,28.91817195,28.6434846,28.93336283,30.95706754,30.33481477,29.99631032,29.22978585,33.39183565,32.78573303,31.89401418,31.44309438,31.20932078,31.70556139,34.23587513,33.87377659,33.13697363,33.30801665,35.7555892,35.41243341,37.28900136,37.1758207,38.62326643,38.56095424,40.04781948,39.90773161,41.39408558,41.23557745,42.59481153,42.80879667,43.07395821,44.12552636,43.9978063,44.14673152,43.84416764,45.35796182,45.56537895,45.2039335,45.10097397,46.31181963,46.50913142,46.39916126,46.42638047,47.9442159,48.30295581,49.63441498,49.24053886,50.92760669,50.42304534,52.84908029,52.45035697,52.68447066,53.44404874,53.83007927,54.13051387,55.15779044,55.04636532,57.05454251,56.73686047,58.17248703,58.06841864,60.09077087,61.31200058,62.96969571,64.46672281,65.68782507,65.91783192,67.59654313,66.75738614,69.00565134,69.50633584,70.39096898,69.73328836,71.88503644,71.54003744,73.33794331,73.6620299,74.83200077,74.94224881,76.29302055,76.34074626,77.64481028,77.87156923,79.17498348,79.68029256,80.08035579,80.41257618,81.22955767,82.90912179,82.43370964,83.63622572,84.3249849,84.55449451
"5",5,1.366039889,1.941347733,6.041744941,6.805288478,0,0.748759641,1.656869312,5.995533291,6.315689072,1.937818347,1.773385827,2.476134995,6.589240207,3.272277496,3.291873257,3.868954991,6.892806954,6.926158567,4.349483036,4.662906408,4.683531665,7.458266712,7.649208822,5.486664737,8.152485521,8.302252234,9.445544611,9.143185557,10.13204383,9.998693171,11.34511964,11.8870776,12.70637392,13.39538258,12.91698237,14.65261959,14.15525738,14.67087668,15.38947043,15.58242357,15.64962068,16.25505024,15.74271324,17.05247021,17.17248059,17.44822606,18.36736452,18.30502022,18.87386083,19.75917832,20.01519825,20.081609,20.27670305,20.55785506,21.36614734,21.41656615,21.62402233,21.82037046,22.77295663,23.02095317,23.26559352,23.68477801,24.63099585,24.30390015,24.21590836,24.3168056,24.4604659,25.65233234,25.68671271,27.24480867,27.26953726,27.76016582,29.05731959,28.65130466,28.56476481,28.06048104,30.96308039,30.55144396,29.88937508,29.78171313,29.87315288,30.54247133,31.80778993,31.60342859,31.17294491,31.58121417,33.34057536,33.12006237,34.90490637,34.92331027,36.28859614,36.38065407,37.77709853,37.82229284,39.1924512,39.17742256,40.45796765,40.78305858,41.22533075,42.17610742,42.26236153,42.61306368,42.54955865,43.48619068,43.83107234,43.72449919,43.7811145,44.49419211,44.81955282,44.92255468,45.1193593,46.66771713,47.27901397,48.35359451,48.18135683,49.68739992,49.31540459,51.49986035,51.19487865,51.54131981,52.09471017,52.60679758,53.01279164,53.96527858,53.92160081,55.88704662,55.60523067,57.00447358,56.93702607,58.84375309,60.05774479,61.73320462,63.23604071,64.5010886,64.79815004,66.42205213,65.65673185,67.80279778,68.40354606,69.17769792,68.63310715,70.67509709,70.40738828,72.14080777,72.53644402,73.65173819,73.83666702,75.12555443,75.24245973,76.49776405,76.78553799,78.12099232,78.69441032,79.03176307,79.47360103,80.38104532,82.00964016,81.61998605,82.7273341,83.45833025,83.71033844
"6",6,1.061267374,1.407998174,5.319099618,6.096020464,0.748759641,0,0.918327265,5.263066714,5.57307091,1.987011398,1.67629458,1.914244412,5.844304103,3.279513817,3.110000235,3.479986676,6.202840748,6.219783834,4.327049268,4.492590023,4.359327854,6.828275822,6.997135591,5.321748065,7.588322524,7.694166639,9.019189628,8.667918325,9.745617241,9.57991668,11.00369111,11.47483747,12.40423446,13.02438357,12.48875991,14.41183053,13.87608761,14.32476073,15.01323632,15.35110422,15.3854724,15.93159202,15.37188815,16.83474006,16.91668779,17.13998636,18.16122452,18.06093164,18.57555751,19.44082657,19.81757993,19.8466498,19.99047977,20.24419446,21.18181579,21.19408171,21.34618327,21.51856455,22.5945268,22.80475166,23.00296089,23.39375924,24.49498436,24.13559421,24.00543071,24.06293872,24.17677094,25.52400488,25.52831787,27.12135307,27.11170949,27.58108791,28.96524058,28.53283714,28.41704491,27.88179508,30.93914503,30.50289565,29.81174413,29.66347843,29.71787395,30.36931302,31.78550763,31.56148541,31.09336192,31.47463323,33.31962043,33.083759,34.88290865,34.88538542,36.2628213,36.33641139,37.74582277,37.76890107,39.15484906,39.1227006,40.41428353,40.72660348,41.14863088,42.11236341,42.1737719,42.50169844,42.4110498,43.41486295,43.74415553,43.608238,43.64687237,44.41766095,44.72854581,44.80728495,44.98513865,46.53166286,47.11548746,48.21964301,48.02258061,49.55010642,49.16302791,51.37632737,51.06057848,51.39478618,51.97167078,52.47003843,52.86460812,53.82612904,53.77488994,55.74649967,55.46050351,56.86474759,56.79318859,58.71402336,59.92957081,61.60403055,63.10705685,64.36788604,64.65765962,66.28846593,65.51457542,67.67303465,68.26296139,69.04973393,68.49234069,70.54743024,70.27101875,72.01234342,72.40020263,73.52201882,73.69874177,74.99499557,75.10428083,76.36546126,76.64658858,77.97899318,78.54511887,78.88949154,79.31943674,80.2173077,81.85200676,81.45287461,82.57096132,83.29757607,83.54721039
"7",7,1.152200702,0.945966473,4.402770439,5.185811082,1.656869312,0.918327265,0,4.344739628,4.658826076,2.544185068,2.144883238,1.675522364,4.984446049,3.694049501,3.323291701,3.387038429,5.496464825,5.474939662,4.664437648,4.651274147,4.319544025,6.239965325,6.364591554,5.462241092,7.111321112,7.139313174,8.747514468,8.325274232,9.526478034,9.315082902,10.83973056,11.20800789,12.28664915,12.80924482,12.19404772,14.36745037,13.78306295,14.13935864,14.78372969,15.3158956,15.30715603,15.77220275,15.14887421,16.81283536,16.84501864,16.99800244,18.15098036,18.00180589,18.44364641,19.2802312,19.8147906,19.79570012,19.87190516,20.08845871,21.19350937,21.15689341,21.2364016,21.37662658,22.61148418,22.77316741,22.91073813,23.26350123,24.56263469,24.16322101,23.97955925,23.98078472,24.05522169,25.5999706,25.56671863,27.20162422,27.14909589,27.59119202,29.08241303,28.61791154,28.46582575,27.8921008,31.13712577,30.67167537,29.94583659,29.7478341,29.75601826,30.38439567,31.98483168,31.73740602,31.22403972,31.57191788,33.5194672,33.26538128,35.08052228,35.06390587,36.45511464,36.50647936,37.93072425,37.92714718,39.33144505,39.27865512,40.58296469,40.87970936,41.27693733,42.25602505,42.28709715,42.58686534,42.46256247,43.54876733,43.85888985,43.68690084,43.70319786,44.54483161,44.83788847,44.88671091,45.04097531,46.58465621,47.13387502,48.27468672,48.04663793,49.60056441,49.19475041,51.44335813,51.11431481,51.4331566,52.03914533,52.52031258,52.90050474,53.87305866,53.81238682,55.79120093,55.50005313,56.91020639,56.83352988,58.77151556,59.98873574,61.66160884,63.16457893,64.41992411,64.70055948,66.33968542,65.55524198,67.72877815,68.30512497,69.10749122,68.5342402,70.605324,70.31812304,72.06902752,72.44714964,73.57692644,73.74340506,75.04865661,75.14843541,76.41677089,76.68957906,78.01800814,78.57494592,78.92805421,79.34306446,80.22880502,81.87098664,81.45998233,82.59144286,83.31247569,83.5590985
"8",8,5.014030372,4.313963498,0.319455667,1.082367253,5.995533291,5.263066714,4.344739628,0,0.562932599,6.426089803,5.995675265,4.650770912,1.915755346,7.085750347,6.357780008,5.598138396,3.741843395,3.413242255,7.681212719,7.168865833,6.318017541,5.04577679,4.839062373,7.739672991,6.348341863,5.910371862,8.752154825,8.042157853,9.679641403,9.27451774,11.1124369,10.95061373,12.65566077,12.67768403,11.71390053,14.94434616,14.16857795,14.06782767,14.46226756,15.88793666,15.68103024,15.74213368,14.84051161,17.38250961,17.18354284,16.99904513,18.72627582,18.35623551,18.44020019,19.11250218,20.37371098,20.13203866,19.88755774,19.9201978,21.78308062,21.52105931,21.25701685,21.24024974,23.1928403,23.12594567,22.97546923,23.1396164,25.33846022,24.76257801,24.33425458,24.07102133,23.95676766,26.39605555,26.19082628,27.9926305,27.74346605,28.05250457,30.01674372,29.41130509,29.09411891,28.34999436,32.41471728,31.82212108,30.94684913,30.52356858,30.31827925,30.83172289,33.25988154,32.90895727,32.19502918,32.38608463,34.7823677,34.44792259,36.3197686,36.21641884,37.65914443,37.60870094,39.09002109,38.96448005,40.44298474,40.29588622,41.64999524,41.87327114,42.15366745,43.19758581,43.08828554,43.25559524,42.97527472,44.43773666,44.6573843,44.31884878,44.23092094,45.39711066,45.60595433,45.5154436,45.55883272,47.08100452,47.46524907,48.77221756,48.40008093,50.07043493,49.5786858,51.98268897,51.59284189,51.83831181,52.57806741,52.9767487,53.28797727,54.30844694,54.20375941,56.20895774,55.89469179,57.32755027,57.22711955,59.2390496,60.46023766,62.12058946,63.61895882,64.84508806,65.08203178,66.75594375,65.92394007,68.16280478,68.67392336,69.54766035,68.90124359,71.04267822,70.70541999,72.49745808,72.82898731,73.99380236,74.11175872,75.45666587,75.51152904,76.81102953,77.04416975,78.35137067,78.86400153,79.257613,79.60150318,80.4284484,82.10308493,81.63676319,82.829412,83.52292108,83.75492976
"9",9,5.409737799,4.718661854,0.83505587,1.323054093,6.315689072,5.57307091,4.658826076,0.562932599,0,6.593957828,6.169710685,4.778603883,1.414526277,7.157747413,6.399722834,5.564368207,3.300372366,2.950678441,7.683296185,7.114500489,6.224027564,4.614945372,4.379593102,7.638440331,5.927236142,5.453103162,8.365916976,7.637617922,9.296833091,8.877349031,10.72762452,10.51809465,12.26897231,12.24524452,11.25771912,14.5653819,13.77501012,13.63376058,14.00608837,15.50445883,15.27972603,15.30507095,14.38398901,16.99338492,16.77371463,16.56058173,18.3336075,17.9443624,17.99750727,18.65521523,19.97532037,19.71414234,19.44314669,19.46122633,21.38446889,21.10268959,20.81034644,20.7813149,22.79080851,22.70368116,22.52945602,22.67866708,24.95105256,24.35960307,23.91024252,23.62542973,23.49661791,26.00902521,25.78803247,27.60300694,27.3359699,27.63285307,29.63852764,29.02023484,28.6881307,27.92971025,32.06883871,31.46360929,30.57418646,30.12964285,29.90508835,30.40799982,32.91291457,32.55154485,31.81815632,31.99395824,34.43275178,34.09024542,35.9664208,35.85421781,37.30114332,37.24037762,38.72645093,38.5887734,40.0737273,39.91736569,41.27558504,41.49152354,41.76058123,42.81010963,42.6876667,42.84288589,42.54910382,44.04464259,44.25575489,43.90238349,43.80545535,45.00012364,45.20110406,45.09816427,45.13195193,46.65168734,47.02219949,48.34236641,47.9584746,49.63781016,49.13914545,51.55528192,51.16043801,51.39977035,52.1504372,52.54207812,52.84756062,53.87164998,53.76339693,55.77019666,55.45413284,56.88846699,56.78613172,58.80361546,60.02484463,61.68379339,63.18146815,64.40496586,64.63833848,66.31473566,65.47906584,67.72278241,68.2285647,69.10789592,68.45570319,70.60243507,70.26119796,72.05625897,72.38399456,73.55144162,73.66550135,75.01337809,75.0646534,76.36645071,76.5964108,77.90177075,78.4108923,78.80759957,79.1459519,79.96835137,81.64523646,81.17482197,82.37192579,83.06328331,83.29417304
"10",10,3.041196243,3.340500392,6.564101197,7.403900756,1.937818347,1.987011398,2.544185068,6.426089803,6.593957828,0,0.433795897,1.843289529,6.445569439,1.335616652,1.473372136,2.365452549,6.193419869,6.334933809,2.411867912,2.778998433,2.988510781,6.436266102,6.717991861,3.587948416,6.874013131,7.168575022,7.813824993,7.613282816,8.426595844,8.34761618,9.569236146,10.21021752,10.88081668,11.64903956,11.26101759,12.77081374,12.30440105,12.88833001,13.64352519,13.693141,13.78370186,14.4430457,13.98850521,15.15358292,15.29828638,15.61859156,16.46131796,16.42147665,17.03287744,17.93647774,18.10414415,18.1908219,18.42353597,18.72956483,19.44880047,19.51762606,19.76276401,19.9795931,20.85289594,21.11786995,21.39157097,21.83298893,22.69842046,22.37992563,22.3094404,22.43601912,22.60204025,23.71823925,23.7594503,25.30983192,25.34189302,25.83928334,27.11958683,26.71557135,26.63435402,26.139406,29.03236804,28.61619961,27.95167472,27.84590005,27.94451439,28.61911352,29.8775039,29.66921746,29.23520238,29.64418026,31.41067882,31.18689023,32.97482884,32.98990766,34.35769963,34.44623078,35.84507064,35.88661248,37.25923677,37.2416062,38.52373736,38.84706673,39.28775195,40.23938958,40.32454332,40.6762192,40.61639169,41.54890991,41.89325876,41.78809589,41.84715101,42.55664094,42.88174441,42.98603377,43.18535579,44.73398765,45.35147173,46.41946751,46.2525023,47.75381508,47.38493164,49.56416371,49.26074913,49.60948224,50.15894391,50.67305645,51.08126878,52.03193528,51.98974154,53.95392296,53.67292454,55.07117761,55.00451453,56.9087913,58.12254728,59.79812766,61.30091998,62.56657876,62.86487011,64.48758019,63.72374933,65.86774037,66.47023578,67.24237848,66.69982715,68.73972499,68.47332179,70.20553127,70.60233452,71.71662313,71.90282713,73.19054672,73.30864947,74.56300058,74.85184605,76.18783456,76.76269278,77.098647,77.54295054,78.4527545,80.07977812,79.69259495,80.79716124,81.52922459,81.78184244
