OID,ID_source,X_source,Y_source,ID_end,X_end,Y_end
0,1,215379.8541,9280685.623,1,215379.8541,9280685.623
1,1,215379.8541,9280685.623,2,216084.5743,9280696.494
2,1,215379.8541,9280685.623,3,220377.8235,9280982.039
3,1,215379.8541,9280685.623,4,221083.1951,9280499.051
4,1,215379.8541,9280685.623,5,214368.1239,9281603.483
5,1,215379.8541,9280685.623,6,215109.0149,9281711.749
6,1,215379.8541,9280685.623,7,216024.5784,9281640.556
7,1,215379.8541,9280685.623,8,220356.0093,9281300.749
8,1,215379.8541,9280685.623,9,220681.8789,9281759.772
9,1,215379.8541,9280685.623,10,214333.0551,9283540.984
10,1,215379.8541,9280685.623,11,214718.478,9283341.916
11,1,215379.8541,9280685.623,12,216161.871,9283310.444
12,1,215379.8541,9280685.623,13,220768.0356,9283171.672
13,1,215379.8541,9280685.623,14,214236.6937,9284873.12
14,1,215379.8541,9280685.623,15,215062.0103,9284821.394
15,1,215379.8541,9280685.623,16,216175.7091,9285024.221
16,1,215379.8541,9280685.623,17,220341.6909,9285042.565
17,1,215379.8541,9280685.623,18,220559.5837,9284707.915
18,1,215379.8541,9280685.623,19,214242.5176,9285951.152
19,1,215379.8541,9280685.623,20,215126.4992,9286204.305
20,1,215379.8541,9280685.623,21,216088.4348,9285959.628
21,1,215379.8541,9280685.623,22,220128.1659,9286341.379
22,1,215379.8541,9280685.623,23,220529.315,9286136.707
23,1,215379.8541,9280685.623,24,215155.9601,9287033.29
24,1,215379.8541,9280685.623,25,219858.9284,9287629.6
25,1,215379.8541,9280685.623,26,220491.7896,9287209.561
26,1,215379.8541,9280685.623,27,218843.8845,9289921.288
27,1,215379.8541,9280685.623,28,219337.7198,9289278.179
28,1,215379.8541,9280685.623,29,218583.9396,9290816.8
29,1,215379.8541,9280685.623,30,218983.6024,9290473.163
30,1,215379.8541,9280685.623,31,218343.2794,9292229.389
31,1,215379.8541,9280685.623,32,219692.8646,9292231.265
32,1,215379.8541,9280685.623,33,218091.327,9293752.133
33,1,215379.8541,9280685.623,34,219556.632,9293953.206
34,1,215379.8541,9280685.623,35,220421.0432,9293014.469
35,1,215379.8541,9280685.623,36,217373.7955,9295944.515
36,1,215379.8541,9280685.623,37,218029.518,9295277.016
37,1,215379.8541,9280685.623,38,219511.5281,9295343.207
38,1,215379.8541,9280685.623,39,220396.8086,9295762.959
39,1,215379.8541,9280685.623,40,217340.2304,9296899.839
40,1,215379.8541,9280685.623,41,218056.4679,9296812.255
41,1,215379.8541,9280685.623,42,219519.6006,9297020.647
42,1,215379.8541,9280685.623,43,220408.7169,9296141.167
43,1,215379.8541,9280685.623,44,217270.2853,9298407.179
44,1,215379.8541,9280685.623,45,218184.4747,9298346.528
45,1,215379.8541,9280685.623,46,219504.7993,9298278.469
46,1,215379.8541,9280685.623,47,217175.7305,9299754.996
47,1,215379.8541,9280685.623,48,218118.7604,9299520.137
48,1,215379.8541,9280685.623,49,219637.1984,9299726.934
49,1,215379.8541,9280685.623,50,220419.714,9300413.145
50,1,215379.8541,9280685.623,51,217162.6284,9301422.638
51,1,215379.8541,9280685.623,52,218197.036,9301316.688
52,1,215379.8541,9280685.623,53,219664.3887,9301176.277
53,1,215379.8541,9280685.623,54,220516.7801,9301220.298
54,1,215379.8541,9280685.623,55,216939.8612,9302814.292
55,1,215379.8541,9280685.623,56,218061.6219,9302699.155
56,1,215379.8541,9280685.623,57,219742.7915,9302548.919
57,1,215379.8541,9280685.623,58,220514.1514,9302540.41
58,1,215379.8541,9280685.623,59,216902.3065,9304234.998
59,1,215379.8541,9280685.623,60,218113.5263,9304317.713
60,1,215379.8541,9280685.623,61,219635.6639,9304264.923
61,1,215379.8541,9280685.623,62,220655.7449,9304438.424
62,1,215379.8541,9280685.623,63,215661.3617,9306200.505
63,1,215379.8541,9280685.623,64,216713.4651,9305793.955
64,1,215379.8541,9280685.623,65,218099.6192,9305530.166
65,1,215379.8541,9280685.623,66,219563.8169,9305358.731
66,1,215379.8541,9280685.623,67,220601.9682,9305256.254
67,1,215379.8541,9280685.623,68,215433.1993,9307233.695
68,1,215379.8541,9280685.623,69,216480.2273,9307203.214
69,1,215379.8541,9280685.623,70,215297.0766,9308832.45
70,1,215379.8541,9280685.623,71,216566.8341,9308784.236
71,1,215379.8541,9280685.623,72,217402.3672,9309197.326
72,1,215379.8541,9280685.623,73,214106.0865,9310659.621
73,1,215379.8541,9280685.623,74,215133.008,9310244.576
74,1,215379.8541,9280685.623,75,216262.0685,9310105.391
75,1,215379.8541,9280685.623,76,217416.2802,9309497.915
76,1,215379.8541,9280685.623,77,211244.8515,9312408.637
77,1,215379.8541,9280685.623,78,212292.679,9312084.35
78,1,215379.8541,9280685.623,79,213508.3264,9311480.489
79,1,215379.8541,9280685.623,80,215139.2181,9311375.212
80,1,215379.8541,9280685.623,81,216638.4208,9311390.242
81,1,215379.8541,9280685.623,82,217423.7559,9311992.719
82,1,215379.8541,9280685.623,83,211079.6171,9313240.822
83,1,215379.8541,9280685.623,84,211929.9916,9313112.723
84,1,215379.8541,9280685.623,85,213536.9892,9312765.346
85,1,215379.8541,9280685.623,86,214667.1934,9313183.281
86,1,215379.8541,9280685.623,87,210844.4154,9314757.328
87,1,215379.8541,9280685.623,88,211546.2429,9314603.112
88,1,215379.8541,9280685.623,89,210709.9657,9316316.166
89,1,215379.8541,9280685.623,90,211447.72,9316404.472
90,1,215379.8541,9280685.623,91,210732.3243,9317709.482
91,1,215379.8541,9280685.623,92,211616.5896,9317879.936
92,1,215379.8541,9280685.623,93,210844.2539,9319215.868
93,1,215379.8541,9280685.623,94,211954.5057,9319348.685
94,1,215379.8541,9280685.623,95,211028.305,9320653.372
95,1,215379.8541,9280685.623,96,211924.2638,9320704.608
96,1,215379.8541,9280685.623,97,211236.2975,9321940.052
97,1,215379.8541,9280685.623,98,211903.2427,9322311.986
